param_name,biome,forcing,criteria,variable,measure,x
default,Temperate rain forest,CTL2010,TAUY_iav_Temperate rain forest,TAUY,iav,0.0001167872304798768
default,Temperate seasonal forest,CTL2010,TAUY_mean_Temperate seasonal forest,TAUY,mean,-0.012085547081370811
default,Temperate seasonal forest,CTL2010,TAUY_iav_Temperate seasonal forest,TAUY,iav,0.00027125496098616067
default,Woodland/shrubland,CTL2010,TAUY_mean_Woodland/shrubland,TAUY,mean,-0.01122649814199874
default,Woodland/shrubland,CTL2010,TAUY_iav_Woodland/shrubland,TAUY,iav,0.0005933088886461019
default,Temperate grassland/desert,CTL2010,TAUY_mean_Temperate grassland/desert,TAUY,mean,-0.0035000537072224737
default,Temperate grassland/desert,CTL2010,TAUY_iav_Temperate grassland/desert,TAUY,iav,0.00014127005469017902
default,Boreal forest,CTL2010,TAUY_mean_Boreal forest,TAUY,mean,-0.009728805605785875
default,Boreal forest,CTL2010,TAUY_iav_Boreal forest,TAUY,iav,0.0002017322162408628
default,Tundra,CTL2010,TAUY_mean_Tundra,TAUY,mean,-0.0035971331237595536
default,Tundra,CTL2010,TAUY_iav_Tundra,TAUY,iav,9.28123880030495e-05
